"NUMPOL","EXPO","ZONA","POTENCIA","ANTIGUEDAD_VEHICULO","EDAD_CONDUCTOR","BONO","MARCA","COMBUSTIBLE","DENSIDAD","REGION"
27,0.87,"C",7,0,56,50,12,"D",93,13
115,0.72,"D",5,0,45,50,12,"E",54,13
121,0.05,"C",6,0,37,55,12,"D",11,13
142,0.9,"C",10,10,42,50,12,"D",93,13
155,0.12,"C",7,0,59,50,12,"E",73,13
186,0.83,"C",5,0,75,50,12,"E",42,13
217,0.74,"A",5,4,31,64,3,"D",21,8
285,0.09,"F",5,0,41,90,12,"E",11,2
303,0.77,"B",4,0,42,50,12,"E",26,13
337,0.24,"A",4,0,29,76,12,"E",26,5
536,0.84,"D",5,0,29,76,12,"E",41,5
542,0.84,"E",5,1,58,100,12,"E",52,0
571,0.53,"B",5,0,27,68,12,"E",22,7
574,0.1,"B",5,0,27,68,12,"E",22,7
590,0.78,"A",11,10,44,50,1,"E",94,13
709,0.18,"B",7,8,22,100,2,"E",26,0
714,0.48,"C",9,0,32,61,12,"E",41,13
739,0.57,"D",10,1,40,50,12,"D",11,13
746,0.05,"D",6,0,74,50,12,"D",93,13
778,0.79,"A",6,0,63,50,12,"E",93,13
789,0.35,"F",6,0,60,100,12,"E",11,0
805,0.01,"E",4,1,27,95,12,"E",11,1
852,0.27,"F",7,5,39,100,12,"E",11,0
859,0.62,"B",5,0,50,50,12,"E",11,13
867,0.81,"C",4,0,36,72,12,"E",53,6
944,0.06,"F",5,4,34,100,12,"D",11,0
961,0.05,"B",7,0,31,51,12,"D",41,12
984,0.11,"E",5,0,34,50,12,"E",93,13
1005,0.22,"D",5,0,24,90,12,"E",22,2
1010,0.00819672131147541,"D",5,0,24,90,12,"E",22,2
1037,0.48,"F",4,0,32,67,12,"E",11,7
1070,0.1,"C",5,0,33,68,12,"E",72,7
1083,0.51,"E",4,0,49,50,12,"E",31,13
1105,0.07,"E",6,0,38,72,12,"D",11,6
1141,0.29,"E",5,1,35,50,12,"E",11,13
1190,0.6,"D",5,0,44,56,12,"E",41,13
1192,0.79,"E",7,1,49,50,12,"E",11,13
1207,0.71,"C",5,0,45,50,12,"E",42,13
1316,0.72,"E",9,0,69,50,12,"E",93,13
1394,0.78,"E",5,5,33,68,5,"E",31,7
1453,0.12,"E",7,0,39,50,12,"D",53,13
1458,0.15,"E",4,0,25,85,12,"E",82,3
1545,0.64,"D",10,0,58,50,12,"D",72,13
1563,0.04,"C",9,0,70,50,12,"E",93,13
1605,0.77,"E",5,0,55,50,12,"E",73,13
1611,0.47,"F",4,0,64,67,12,"E",11,7
1652,0.08,"C",4,0,44,50,12,"E",72,13
1677,0.52,"B",5,0,43,50,12,"E",72,13
1689,0.77,"B",4,1,70,50,12,"E",74,13
1717,0.09,"C",8,0,54,50,12,"E",93,13
1758,0.57,"B",4,5,59,50,2,"E",91,13
1773,0.11,"A",9,0,63,50,12,"E",72,13
1840,0.11,"E",5,0,26,100,12,"E",11,0
1846,0.08,"D",7,0,27,100,12,"E",82,0
1870,0.11,"C",5,0,52,50,12,"E",73,13
1895,0.24,"E",4,0,22,95,12,"E",31,1
1899,0.07,"E",7,5,33,50,12,"E",11,13
1963,0.1,"E",9,0,78,50,12,"E",72,13
1981,0.2,"D",5,0,39,50,12,"E",91,13
2044,0.65,"A",4,0,37,51,12,"E",72,12
2095,0.07,"B",4,0,44,50,12,"E",73,13
2123,0.6,"D",4,0,25,95,12,"E",22,1
2129,0.74,"F",9,0,30,72,12,"E",11,6
2148,0.69,"D",4,0,73,50,12,"E",91,13
2205,0.73,"F",5,0,49,77,12,"E",11,4
2257,0.05,"C",7,0,38,50,12,"D",26,13
2278,0.04,"D",5,0,45,50,12,"E",72,13
2319,0.5,"D",6,5,34,68,12,"E",11,7
2348,0.13,"C",4,0,38,64,12,"E",93,8
2360,0.72,"E",7,0,65,60,12,"E",11,9
2382,0.46,"E",4,8,69,50,4,"E",93,13
2405,0.07,"D",6,0,26,76,12,"E",11,5
2409,0.64,"B",5,0,41,50,12,"D",52,13
2447,0.62,"E",6,3,39,54,12,"D",22,11
2503,0.03,"E",7,0,31,64,12,"D",11,8
2505,0.42,"E",7,0,31,64,12,"D",11,8
2566,0.66,"F",5,0,34,50,12,"E",11,13
2652,0.71,"E",6,6,36,51,1,"D",24,12
2674,0.08,"B",6,0,65,50,12,"E",73,13
2679,0.01,"E",5,0,48,50,12,"E",83,13
2699,0.03,"D",7,0,36,100,12,"E",93,0
2731,0.62,"E",5,0,30,57,12,"E",93,10
2744,0.06,"C",8,0,27,85,11,"E",21,3
2793,0.69,"D",5,4,60,100,1,"E",31,0
2799,0.49,"E",4,0,68,50,12,"E",93,13
2898,0.62,"F",6,0,27,100,12,"E",11,0
3003,0.00273224043715847,"E",5,0,31,72,12,"E",93,6
3034,0.59,"D",4,0,75,95,12,"E",91,1
3043,0.71,"C",6,0,68,55,12,"D",91,13
3054,0.5,"A",12,9,69,50,12,"E",73,13
3057,0.09,"D",5,0,60,54,12,"E",93,11
3092,0.6,"D",5,0,23,90,12,"E",91,2
3093,0.07,"D",5,0,23,90,12,"E",91,2
3100,0.08,"C",10,6,46,50,12,"E",93,13
3136,0.75,"E",5,0,36,57,12,"E",82,10
3166,0.56,"C",4,0,45,50,12,"E",91,13
3219,0.38,"A",10,0,26,80,12,"D",74,4
3293,0.14,"F",7,0,47,50,12,"D",11,13
3325,0.85,"A",5,0,49,50,12,"E",23,13
3337,0.23,"D",6,0,40,72,12,"E",11,6
3353,0.81,"D",4,0,66,50,12,"E",91,13
3374,0.07,"D",7,0,32,63,12,"D",11,13
3405,0.93,"E",4,0,46,50,12,"E",53,13
3434,0.93,"C",4,3,32,64,2,"E",31,8
3477,0.09,"D",5,0,50,72,12,"E",41,6
3488,0.75,"E",9,2,30,54,12,"E",11,11
3493,0.78,"C",7,0,72,50,12,"E",93,13
3520,0.92,"C",5,0,30,90,12,"E",91,2
3541,0.75,"E",7,7,26,95,12,"E",53,1
3575,0.18,"D",11,0,65,50,12,"D",93,13
3591,0.85,"D",6,0,71,50,12,"E",93,13
3596,0.02,"E",6,0,40,50,12,"D",21,13
3619,0.77,"C",9,0,36,50,12,"E",93,13
3649,0.9,"D",10,10,49,50,12,"D",91,13
3689,0.03,"E",7,0,43,50,12,"E",93,13
3694,0.19,"A",9,2,51,50,12,"E",72,13
3721,0.72,"C",4,1,42,54,5,"E",82,11
3743,0.85,"A",5,0,47,50,12,"E",82,13
3787,0.08,"D",4,7,52,50,5,"E",94,13
3994,0.83,"A",5,1,29,76,12,"E",53,5
4005,0.16,"E",7,0,41,50,12,"D",82,13
4010,0.74,"E",4,0,70,50,12,"E",11,13
4035,0.06,"B",7,0,31,72,12,"E",31,6
4080,0.45,"C",4,0,30,60,12,"E",11,9
4095,0.29,"B",12,3,28,76,12,"D",11,5
4107,0.61,"E",5,0,38,55,12,"E",93,13
4131,0.01,"C",10,0,51,50,12,"D",93,13
4139,0.58,"E",4,0,26,100,12,"E",31,0
4155,0.44,"B",4,5,22,100,2,"D",31,0
4199,0.07,"C",6,2,25,90,2,"D",73,2
4249,0.09,"E",9,0,57,51,12,"E",93,12
4256,0.12,"E",7,8,49,100,12,"E",52,0
4263,0.65,"C",10,7,27,76,12,"D",52,5
4287,0.65,"C",10,2,58,50,12,"E",72,13
4349,0.61,"E",4,0,35,57,12,"E",11,10
4391,0.32,"E",10,0,49,95,12,"D",11,1
4426,0.06,"C",5,0,38,60,12,"E",11,9
4440,0.45,"D",5,0,34,72,12,"E",93,6
4451,0.13,"E",7,0,46,80,12,"D",11,4
4471,0.18,"E",7,2,57,50,12,"E",11,13
4476,0.63,"C",9,0,64,50,12,"E",82,13
4523,0.56,"C",4,0,25,100,12,"E",82,0
4527,0.04,"E",5,0,42,100,12,"E",11,0
4561,0.11,"E",7,0,39,64,12,"E",93,8
4578,0.56,"D",6,0,78,50,12,"E",91,13
4610,0.00546448087431694,"D",4,0,46,50,12,"E",72,13
4614,0.2,"D",4,0,46,50,12,"E",72,13
4633,0.06,"A",6,0,59,50,12,"E",73,13
4635,0.48,"C",5,0,25,72,12,"E",72,6
4639,0.54,"E",7,0,43,54,12,"E",11,11
4656,0.53,"B",5,0,24,76,12,"E",72,5
4665,0.03,"B",7,1,37,63,4,"E",54,13
4705,0.05,"C",8,2,53,50,12,"E",25,13
4755,0.53,"A",4,0,56,50,12,"E",54,13
4769,0.03,"C",6,3,41,68,12,"D",22,7
4857,0.53,"C",7,5,33,74,5,"E",22,5
4909,0.17,"E",10,10,26,72,12,"E",11,6
4930,0.4,"F",9,0,28,100,12,"E",11,0
4931,0.03,"F",9,0,28,100,12,"E",11,0
4950,0.59,"B",13,8,43,50,12,"E",93,13
4960,0.16,"A",5,0,54,50,12,"E",82,13
