"ID","NUMPOL","COD_COBERTURA","MONTO"
6,4075803,"2DO",512.74
7,4075803,"1RC",0
14,4024277,"2DO",89.7
16,4024277,"1RC",1851.11
33,4083980,"2DO",566.84
67,4032035,"4BG",512.48
74,4020011,"2DO",1722.93
75,4020011,"1RC",1204
96,4001738,"4BG",88.58
113,4000648,"2DO",851.62
122,4017796,"1RC",0
132,4051175,"2DO",442.81
148,1012867,"2DO",1064.09
154,4018480,"2DO",82.05
155,4018480,"1RC",1204
159,1012867,"1RC",417.52
160,4086670,"2DO",582.22
176,4050992,"2DO",23.92
208,4017153,"4BG",598.54
213,4031483,"4BG",564.15
236,4012088,"2DO",479.07
255,4079475,"4BG",493.42
267,4051175,"4BG",476.89
269,4043450,"2DO",1214.32
276,4024819,"2DO",-878.92
323,4049118,"2DO",-285.77
334,4025105,"4BG",59.32
349,4000695,"4BG",594.82
374,4016534,"2DO",1904.23
387,4045755,"4BG",338.47
391,4025287,"4BG",795.15
402,4081748,"4BG",53.36
409,4003346,"4BG",717.65
419,1003074,"2DO",90.24
434,4025340,"4BG",706.17
442,1012626,"2DO",1901.27
472,4036985,"2DO",-565.46
478,4073193,"4BG",763.69
482,4071308,"2DO",1202.75
485,4015381,"2DO",523.9
488,4074647,"1RC",1204
491,4018918,"2DO",76.54
504,4051957,"2DO",83.72
505,4053416,"2DO",1014.75
506,4053416,"1RC",1204
507,4016246,"2DO",439.55
512,4006854,"2DO",-764.77
513,4006854,"1RC",0
517,4077938,"4BG",818.76
525,4050314,"2DO",1662.28
530,1011874,"2DO",-237.01
554,4042992,"4BG",0
578,4040034,"1RC",750
606,4017028,"2DO",0
628,4042992,"2DO",2453.65
629,4042992,"1RC",2735.14
646,4033742,"4BG",471
667,4071200,"2DO",-775.56
708,1008456,"1RC",1128.12
746,4008633,"4BG",402.12
762,1545,"2DO",0
764,4032412,"2DO",0
765,4032412,"1RC",1204
772,1545,"1RC",0
773,4078884,"4BG",82.6
783,1011339,"2DO",1196.66
790,4042992,"4BG",87.07
801,4016780,"4BG",82.6
812,4054712,"2DO",0
813,4054712,"1RC",1204
858,4001717,"2DO",-168.66
924,4002605,"2DO",-746.42
934,4079751,"4BG",82.6
936,1000368,"2DO",-105.06
951,4003346,"4BG",82.6
956,4012804,"2DO",593.1
957,4012804,"1RC",602
963,4081321,"3VI",2314.19
967,4031263,"2DO",1901.02
976,4002833,"2DO",0
989,4008875,"2DO",4474.51
990,4008875,"1RC",1204
994,4003919,"2DO",-646.17
1005,4080391,"2DO",719.65
1006,4080391,"1RC",1204
1012,4003149,"4BG",464.25
1016,4044189,"4BG",642.05
1049,4038419,"4BG",172.68
1068,4038839,"2DO",-524.08
1070,4038839,"1RC",602
1075,4045868,"1RC",16129.91
1080,4005264,"4BG",464.83
1111,4056100,"2DO",2756.51
1112,4056100,"1RC",6539.97
1114,4056100,"1RC",1204
1120,4071523,"2DO",-142.29
1128,4012950,"2DO",1700.04
1129,4012950,"1RC",1204
1170,4027825,"4BG",598.35
1171,4040864,"4BG",489.39
1196,4056748,"2DO",533.76
1204,4003322,"2DO",16.66
1205,4003322,"1RC",602
1211,4048589,"2DO",73.56
1213,1012794,"2DO",97.8
1223,4086352,"2DO",-18.66
1238,4044070,"4BG",407.8
1244,3045425,"1RC",1204
1267,1010874,"2DO",-189.68
1276,4041656,"2DO",0
1277,4041656,"1RC",1204
1291,4012016,"4BG",603.2
1292,4058591,"4BG",434.46
1310,4020203,"2DO",0
1319,4349,"2DO",795.81
1350,4054947,"2DO",2612.36
1364,1004836,"2DO",81.6
1383,4022248,"1RC",0
1399,4074168,"2DO",2453.95
1400,4074168,"1RC",19042.19
1401,4074168,"1RC",1204
1424,4039908,"4BG",430.34
1429,4050709,"1RC",1204
1447,4022939,"2DO",99.28
1472,4060162,"2DO",598.04
1477,4036392,"4BG",316.31
1486,1006475,"4BG",129.1
1506,4043421,"4BG",574.44
1526,4016831,"2DO",-441.15
1535,4016905,"2DO",1601.96
1547,4074320,"2DO",1385.65
